,Dirección,Descripción,Atributos,Latitud,Longitud,Scores
0,"500 South Main Street, Salt Lake City, UT 84101, Estados Unidos","Este hotel de Salt Lake City se encuentra a 5 minutos en coche de la plaza Temple. Ofrece piscina cubierta, piscina al aire libre y tiendas. Los domingos se sirve un brunch que ha sido galardonado.

Las habitaciones del Little America Hotel disponen de TV y WiFi gratuita. Las habitaciones superiores Tower incluyen zona de estar independiente, TV de pantalla plana y soporte para iPod.

El spa del Little American alberga sauna, bañera de hidromasaje y centro de fitness. Además, hay 2 tiendas, una de ellas de regalos.

El Lucky H Bar & Grille sirve desayunos y almuerzos buffet, así como un menú a la carta para la cena. La cafetería prepara cocina tradicional en un entorno informal. El hotel también alberga una cafetería y dispone de servicio de habitaciones.

El aeropuerto internacional de Salt Lake City se halla a 10 minutos en coche. Además, la Universidad de Utah está a 4,7 km del Little America Hotel Salt Lake City.","['Adaptado personas de movilidad reducida', 'WiFi gratis', 'Habitaciones sin humo', 'Tetera/cafetera en todas las habitaciones', 'Gimnasio', 'Bar', 'Parking en el alojamiento', '2 restaurantes', '2 piscinas (1 abierta)', 'Servicio de habitaciones']",40.75826405,-111.89146487,"[{'Personal': '8.8'}, {'Instalaciones y servicios': '8.5'}, {'Limpieza': '8.8'}, {'Confort': '8.7'}, {'Relación calidad-precio': '8.0'}, {'Ubicación': '9.0'}, {'WiFi gratis': '8.1'}]"
1,"170 South West Temple, Salt Lake City, 84101, Estados Unidos","Hyatt Regency Salt Lake City es un alojamiento con una buena ubicación en Salt Lake City que ofrece piscina al aire libre, wifi gratis, centro de fitness y habitaciones con aire acondicionado. Este hotel de 5 estrellas ofrece servicio de habitaciones y centro de negocios. El restaurante sirve platos de cocina americana y de cocina española, y el bar es ideal para tomar algo.

Todas las unidades de este alojamiento incluyen zona de estar, TV de pantalla plana con canales por cable y caja fuerte. Las habitaciones cuentan con nevera.

El hotel ofrece terraza solárium.

En recepción se habla alemán, inglés, español y francés, y el personal está siempre dispuesto a echar una mano.

Cerca del alojamiento hay puntos de interés como Tabernáculo de Salt Lake City, Centro de Convenciones Salt Palace y Family History Library. El aeropuerto más cercano (Aeropuerto internacional de Salt Lake City) está a 7 km.","['Adaptado personas de movilidad reducida', 'WiFi gratis', 'Piscina al aire libre', 'Habitaciones sin humo', 'Tetera/cafetera en todas las habitaciones', 'Gimnasio', 'Bar', 'Muy buen desayuno', '3 restaurantes', 'Servicio de habitaciones']",40.76607748,-111.89471,"[{'Personal': '9.2'}, {'Instalaciones y servicios': '9.3'}, {'Limpieza': '9.5'}, {'Confort': '9.5'}, {'Relación calidad-precio': '8.6'}, {'Ubicación': '9.5'}, {'WiFi gratis': '9.3'}]"
2,"206 South West Temple, Salt Lake City, UT 84101, Estados Unidos","El Holiday Inn Express Salt Lake City Downtown, equipado con piscina cubierta, está a 5 minutos a pie del centro de convenciones de Salt Lake. Ofrece conexión WiFi gratuita. El establecimiento alberga una sauna.

Todas las habitaciones del Holiday Inn Express Salt Lake City Downtown disponen de escritorio, TV de pantalla plana, baño, microondas, nevera pequeña y set de café.

El Salt Lake City Downtown Holiday Inn Express cuenta además con centro de fitness, centro de negocios y bañera de hidromasaje.

A 15 minutos a pie está la Manzana del Templo. El aeropuerto internacional de Salt Lake City se encuentra a 10 km del Holiday Inn Express Salt Lake City.","['Adaptado personas de movilidad reducida', '¿Se sirven desayunos?', 'WiFi gratis', 'Piscina interior', 'Habitaciones sin humo', 'Gimnasio', 'Parking privado', 'Buen desayuno', 'Recepción 24 horas', '¿Puedo aparcar aquí?']",40.764598,-111.893959,"[{'Personal': '8.8'}, {'Instalaciones y servicios': '8.7'}, {'Limpieza': '8.9'}, {'Confort': '9.0'}, {'Relación calidad-precio': '8.4'}, {'Ubicación': '9.2'}, {'WiFi gratis': '8.7'}]"
3,"660 S 400 W STE 200 Salt Lake City, UT 84101, Salt Lake City, UT 84101, Estados Unidos","Evo Hotel está en Salt Lake City y tiene centro de fitness, terraza, bar y wifi gratis en todo el alojamiento. El hotel está a 2,8 km de Tabernáculo de Salt Lake City y a 2,2 km de Centro de Convenciones Salt Palace, y ofrece guardaesquíes. El alojamiento dispone de recepción 24 horas y guardaequipaje.

Las habitaciones cuentan con baño privado con ducha, artículos de aseo gratuitos y secador de pelo. En el hotel, cada habitación incluye ropa de cama y toallas.

La clientela puede practicar actividades en Salt Lake City y alrededores, como esquí.

Family History Library está a 2,8 km del alojamiento, y Manzana del Templo está a 2,8 km. El aeropuerto (Aeropuerto internacional de Salt Lake City) está a 6 km.","['Habitaciones familiares', '¿Se sirven desayunos?', 'WiFi gratis', 'Recepción 24 horas', 'Habitaciones sin humo', 'Gimnasio', 'Bar', '¿Hay piscina?', 'Parking gratis', '¿Puedo aparcar aquí?']",40.75431,-111.902899,"[{'Personal': '9.2'}, {'Instalaciones y servicios': '9.1'}, {'Limpieza': '9.2'}, {'Confort': '9.1'}, {'Relación calidad-precio': '8.3'}, {'Ubicación': '8.1'}, {'WiFi gratis': '9.0'}]"
4,"423 West 300 South, Salt Lake City, UT 84101, Estados Unidos","Este hotel se encuentra en el centro de Salt Lake City, a 10 minutos en coche de la Universidad de Utah. Todas las suites de este hotel cuentan con cocina completa. Ofrece piscina al aire libre y desayuno diario gratuito.

Las suites del Salt Lake City Downtown Homewood Suites son amplias y disponen de zona de estar y de dormitorio independientes. La cocina incluye 2 fogones, nevera completa y lavavajillas.

El Hilton Downtown Salt Lake City cuenta con una tienda abierta las 24 horas y servicio de lavandería. Los huéspedes tienen acceso gratuito al moderno gimnasio y al centro de negocios de servicio completo.

El establecimiento se encuentra a 5 minutos a pie de la estación de Amtrak y de la parada del tren ligero. El Homewood Suites by Hilton Salt Lake City se encuentra a 15 minutos a pie del centro de convenciones Salt Palace y a 10 minutos a pie del Vivint Smart Home Arena.","['Habitaciones familiares', 'Adaptado personas de movilidad reducida', 'WiFi gratis', 'Piscina al aire libre', 'Habitaciones sin humo', 'Tetera/cafetera en todas las habitaciones', 'Gimnasio', 'Parking privado', 'Muy buen desayuno', 'Recepción 24 horas']",40.76262649,-111.90337949,"[{'Personal': '8.8'}, {'Instalaciones y servicios': '8.8'}, {'Limpieza': '9.0'}, {'Confort': '9.0'}, {'Relación calidad-precio': '8.5'}, {'Ubicación': '8.2'}, {'WiFi gratis': '8.8'}]"
5,"171 West 500 South, Salt Lake City, UT 84101, Estados Unidos","El hotel Comfort Inn Downtown está en el centro de Salt Lake City, cerca de numerosos lugares de interés populares de Utah. Este hotel de Salt Lake City, Utah, se encuentra a pocos minutos de sitios de interés locales como el Salón de Asambleas de Temple Square, la Universidad de Utah, el centro de convenciones Salt Palace, el aviario Tracy Aviary y el planetario Clark Planetarium.
Salt Lake City, la capital de Utah, es una zona próspera que ofrece numerosos lugares de interés histórico, sitios de entretenimiento emocionantes y zonas recreativas de estilo olímpico.

El hotel proporciona desayuno gratis, WiFi de alta velocidad gratuita, periódico gratis de lunes a viernes y llamadas locales gratis.
Este hotel admite mascotas, por un suplemento.

Además, el hotel cuenta con bañera de hidromasaje cubierta, sala de ejercicios, centro de negocios, ordenador público con conexión a internet y servicio de fotocopias y fax.

Todas las habitaciones incluyen colchones reforzados, TV de pantalla plana, microondas, nevera, cafetera, barras de ducha curvas, secador de pelo, plancha, tabla de planchar y canales de TV por cable.

Este hotel también dispone de tienda de artículos diversos y servicio de lavandería. El aparcamiento del establecimiento tiene capacidad para casi todo tipo de vehículos.","['¿Se sirven desayunos?', 'WiFi gratis', 'Habitaciones sin humo', 'Gimnasio', 'Parking gratis', '¿Hay piscina?', 'Desayuno', 'Recepción 24 horas', '¿Cómo y cuándo pago?', '¿Puedo aparcar aquí?']",40.75809087,-111.89545423,"[{'Personal': '7.9'}, {'Instalaciones y servicios': '6.8'}, {'Limpieza': '7.3'}, {'Confort': '7.3'}, {'Relación calidad-precio': '7.1'}, {'Ubicación': '8.0'}, {'WiFi gratis': '7.2'}]"
6,"150 North Main Street, Salt Lake City, UT 84103, Estados Unidos","Apartments feature a full living room. The Kimball at Temple Square minute’s walk away and the Salt Palace Convention Center is a 10-minute walk from the property.

The non-smoking rooms at The Kimball at Temple Square offer cable TV and a DVD player, a kitchenette, and all linens. Free toiletries and a humidifier are also provided.

Laundry facilities are available at The Kimball at Temple Square. Movie rentals and a guest lounge are all offered. Free parking is provided.

City Creek Center is less than 10 minute's walk from the aparthotel. Clark Planetarium is 5 minutes drive away.","['Habitaciones familiares', 'Canyon Park\n350 m', 'Pioneer Memorial Museum\n350 m', 'Canyon Side Park\n450 m', 'WiFi gratis', 'City Creek Park\n200 m', 'Habitaciones sin humo', 'Gimnasio', 'Parking gratis', 'Museo de Arte e Historia de la Iglesia\n400 m']",40.77269908,-111.89057147,"[{'Personal': '8.6'}, {'Instalaciones y servicios': '8.1'}, {'Limpieza': '8.4'}, {'Confort': '8.5'}, {'Relación calidad-precio': '8.3'}, {'Ubicación': '9.3'}, {'WiFi gratis': '7.5'}]"
7,"122 West South Temple, Salt Lake City, UT 84101 , Estados Unidos","El establecimiento cuenta con piscina al aire libre, bañera de hidromasaje y habitaciones con WiFi gratuita.

Las habitaciones del Salt Lake Plaza Hotel SureStay Collection by Best Western están equipadas con nevera, microondas, cafetera, secador de pelo, utensilios de planchado y caja fuerte.

El Salt Lake Plaza Hotel SureStay Collection by Best Western alberga un centro de fitness y un centro de negocios. Hay mostrador de información turística, cajero automático y servicio de habitaciones.

El Salt Lake Plaza Hotel SureStay Collection by Best Westerne está justo al lado de la Biblioteca de Historia Familiar y a 300 metros del centro de convenciones Salt Palace. El aeropuerto más cercano es el aeropuerto internacional de Salt Lake City, que está a 8 km del Salt Lake Plaza Hotel SureStay Collection by Best Western.","['Habitaciones familiares', 'Adaptado personas de movilidad reducida', '¿Se sirven desayunos?', 'WiFi gratis', 'Piscina al aire libre', 'Habitaciones sin humo', 'Gimnasio', 'Parking en el alojamiento', 'Recepción 24 horas', '¿Puedo aparcar aquí?']",40.76964618,-111.89479038,"[{'Personal': '8.4'}, {'Instalaciones y servicios': '7.7'}, {'Limpieza': '8.3'}, {'Confort': '8.3'}, {'Relación calidad-precio': '7.9'}, {'Ubicación': '9.2'}, {'WiFi gratis': '8.7'}]"
8,"140 South 300 West, Salt Lake City, UT 84101, Estados Unidos","El Hyatt House Salt Lake City Downtown, situado en Salt Lake City, a 1 km del Tabernáculo, alberga un restaurante y ofrece habitaciones con conexión WiFi gratuita. También cuenta con piscina al aire libre y sirve un desayuno gratuito a diario.

Las habitaciones incluyen TV de pantalla plana por cable, escritorio y baño privado. Algunas tienen cocina completa.

El bar H sirve diversas bebidas y prepara platos para la cena.

El Hyatt House Salt Lake City Downtown alberga un gimnasio y dispone de recepción abierta las 24 horas.

La Manzana del Templo se encuentra a 9 minutos a pie, mientras que el centro comercial Trolley Square está a 2,5 km. El aeropuerto internacional de Salt Lake City queda a 7 km.","['Habitaciones familiares', 'Adaptado personas de movilidad reducida', 'WiFi gratis', 'Piscina al aire libre', 'Habitaciones sin humo', 'Tetera/cafetera en todas las habitaciones', 'Gimnasio', 'Parking en el alojamiento', 'Buen desayuno', 'Restaurante']",40.766198,-111.89969,"[{'Personal': '9.0'}, {'Instalaciones y servicios': '8.6'}, {'Limpieza': '8.9'}, {'Confort': '8.9'}, {'Relación calidad-precio': '8.2'}, {'Ubicación': '9.0'}, {'WiFi gratis': '8.6'}]"
9,"230 West 500 South , Salt Lake City, UT 84101, Estados Unidos","Este hotel de Salt Lake City con piscina cubierta, sauna y bañera de hidromasaje está a 15 minutos en coche de la histórica Plaza del Templo y del aeropuerto internacional de Salt Lake City. Hay WiFi gratuita en todas las habitaciones.

Las modernas habitaciones del Crystal Inn Hotel & Suites – Salt Lake City tienen baño, mobiliario actual y TV de pantalla plana por cable.

Los huéspedes del Salt Lake City – Crystal Inn & Suites disponen de centro de negocios, y en la zona de comedor hay desayuno completo gratuito a diario.

El hotel Salt Lake City se halla a 45 minutos en coche de la estación de esquí de Brighton y a 2 km del planetario Clark y del centro de convenciones Salt Palace.","['Habitaciones familiares', 'Adaptado personas de movilidad reducida', '¿Se sirven desayunos?', 'Piscina interior', 'Recepción 24 horas', 'Habitaciones sin humo', 'Gimnasio', 'Traslado aeropuerto (gratis)', 'Buen desayuno', 'Parking gratis']",40.7588751,-111.89787894,"[{'Personal': '9.0'}, {'Instalaciones y servicios': '8.4'}, {'Limpieza': '8.7'}, {'Confort': '8.7'}, {'Relación calidad-precio': '8.3'}, {'Ubicación': '8.6'}]"
